date_debut,date_fin,categorie,intitule,lieu,programme,programme_detaille,resultats
dd,df,,Octobre,l,p,r
24/10/2021,,Jeunes,Championnat départemental d’Automne,Chambéry,[Programme](../pdfs/211024Prog.pdf),[Matin](../pdfs/programme_72467_j1r1.pdf) [Apres-midi](../pdfs/programme_72467_j1r2.pdf),[Résultats](../pdfs/211024res.pdf)
,,,Novembre,,,,
11/11/2021,,T.C.,Interclubs de Savoie T.C.,Chambéry,[Programme](../pdfs/211111prog.pdf),[Matin](../pdfs/211111mat.pdf) [Apres-midi](../pdfs/211111am.pdf),[Résultats](../pdfs/211111resffn.pdf)
14/11/2021,,Avenirs,Coupe départementale et challenge Avenirs N°1,St Jean,,[Challenge](../pdfs/programme_complet_73387.pdf) [Coupe](../pdfs/programme_complet_73395.pdf),[Challenge](../pdfs/211114RES CH.pdf) [Coupe](../pdfs/211114REcoupe.pdf)
27/11/2021,,T.C.,Assemblée générale de la ligue,Chassieu,,,
28/11/2021,,Avenirs,Interclubs Avenirs et Jeunes,Gilly,[Programme](../pdfs/211128Prodeux.pdf),[Avenirs Matin](../pdfs/211128Prog AVM.pdf) [Avenirs Apres-midi](../pdfs/211128Prog AVAM.pdf) [Jeunes Matin](../pdfs/211128Prog JEM.pdf) [Jeunes Apres-midi](../pdfs/211128Prog JEAM.pdf),[Avenirs](../pdfs/211128ResICAvenirs.pdf) [Jeunes](../pdfs/211128ResICJeunes.pdf)
,,,Decembre,,,,
04/12/2021,,Autre,Assemblée générale exceptionnelle du département 14h,Chambéry,,,
04/12/2021,,T.C.,Coupe locale 18h30,Chambéry,[Programme](../pdfs/211204Menu.pdf),,[Toutes Catégories](../pdfs/211204ResTC.pdf) [Par Catégories](../pdfs/211204ResparC.pdf)
30/01/2022,,Jeunes,Demi fond,Aix,,,
05/02/2022,,Avenirs,Journée départementale jeunes,Gilly,,,[Résultats](../pdfs//resultats_2022-02-05_Gilly.pdf)
06/02/2022,,Jeunes,Championnat départementale jeunes et plus,Gilly,,,[Résultats](../pdfs/resultats_2022-02-06_Gilly.pdf)
04/03/2022,06/03/2022,Juniors,Meeting AuRA en 50m,Chambéry,,,
16/03/2022,20/03/2022,Nationale 2,Championnat de France de Nationale 2,St Raphaël,,,
